2422	684,081234	2438	595,823871	10095	540,752747	10205	539,042905	23691	531,578226	24192	533,176925	37663	527,673872	39413	529,733559	51009	523,842128	50087	526,851616	65293	517,510044	64183	520,212527	78389	514,012279	77795	515,245083	90938	511,650275	89782	510,000283	106004	509,340367	102206	509,125358	118318	508,532578	116162	508,280382	129320	507,554006	129289	507,934473	142948	507,288874	143151	507,491942	155372	506,473529	155607	507,359382	168734	506,002985	169922	506,911148	179298	505,782987	180736	506,350885	191879	505,285268	193301	505,920398	206116	505,448919	207851	505,873284	218556	504,932767	218446	505,378363	229417	505,172712	230105	505,711599	240560	505,610699	240888	504,498153	251374	505,245418	253499	503,852217	
2656	651,738892	2688	592,406025	10627	539,996014	10736	538,654409	24614	531,374260	25942	532,920187	39132	527,604355	40898	529,399267	53228	523,257869	51884	525,861826	68106	516,606845	66512	519,618556	80608	513,240627	80202	514,451324	93658	511,364912	92376	509,604587	109536	509,121697	105253	508,968569	121991	508,357790	119944	508,039653	133243	507,450167	133134	507,761097	147168	507,119650	147730	507,392789	159842	506,400542	160373	507,154380	173329	505,976130	175048	506,872940	184034	505,727052	185800	506,263957	196942	505,153511	197567	505,888651	211836	505,146691	213227	505,819568	224182	504,621740	224057	504,773519	234809	504,894155	235418	505,547969	246061	505,584825	246436	504,394800	256203	505,119119	258828	503,749526	
2891	632,006298	2938	588,995420	11252	539,381335	11236	537,769529	25848	531,106816	27552	533,134756	40351	526,992074	42351	529,252732	55041	522,251369	53697	525,456471	70309	515,780368	68981	518,600972	82999	512,547992	82827	513,669930	96549	510,823268	95283	509,221296	112974	508,733204	108613	508,930168	125617	508,163065	123601	507,819364	137213	507,367769	137056	507,729194	151215	507,055419	152215	507,361588	164280	506,335730	164827	507,085839	177814	505,768612	180158	506,653970	189988	505,574202	191785	506,208308	202568	505,697856	202568	506,303083	217727	504,883105	218509	505,762151	229761	504,528056	229761	504,756710	240263	504,661193	240779	505,695350	252374	505,531595	251859	504,334631	261719	504,997377	263907	503,557959	
3125	616,866601	3203	585,697586	11846	538,664658	11830	536,843363	27036	531,772870	28802	532,867691	41914	526,792742	43742	528,943483	57385	521,459315	55463	524,449394	72310	515,119623	71200	518,003471	85578	512,242149	85750	513,021552	99549	510,151085	98330	509,134561	116459	508,615473	111723	508,844955	129492	508,053761	127304	507,699767	141198	507,113313	141291	507,517193	155544	506,933047	156247	507,251130	168625	506,202533	169484	506,938195	182643	505,775000	185831	506,589245	195333	505,449505	197021	506,180165	208148	505,392773	207929	506,117064	222744	504,663082	223900	505,867414	235700	504,490910	235184	504,573704	245623	504,602591	246155	505,429353	258078	505,408839	257547	504,240963	266907	504,918156	268892	503,490992	
3375	604,580414	3453	582,450894	12455	538,164075	12908	536,221927	28208	530,749504	29771	533,046551	43383	526,242431	45336	528,772466	59761	520,663425	57229	523,815946	74638	514,357239	73294	517,095687	88266	511,481109	89376	512,276808	102659	509,628427	101331	508,872892	120225	508,464389	114958	508,546505	133774	507,866400	131133	507,599873	145480	506,944299	145808	507,421756	159982	506,741282	160654	507,092373	173032	506,146192	174548	506,826106	187050	505,528370	191613	506,468042	200302	505,694176	202475	506,549855	213461	505,068308	213274	505,971527	228495	504,612122	229230	505,772415	241466	504,422689	240779	504,477797	251062	504,429517	251812	505,336230	263782	505,237462	262798	504,157299	272408	504,888871	273971	503,457314	
3594	594,216434	3703	579,195774	13080	537,486098	13549	535,651272	29286	530,754818	31709	532,369710	44992	525,905611	47040	528,433718	61745	520,399171	59182	523,341438	77092	513,638189	75670	516,393416	91016	510,799374	92282	511,789677	106332	509,348419	103753	508,741775	123648	508,354744	118584	508,365983	137978	507,657808	135025	507,481845	149793	506,808938	150309	507,350866	164436	506,739510	165218	506,968821	177439	505,732318	179298	506,728739	192535	505,438974	196895	506,318209	205991	505,760041	207866	506,161035	218696	504,948634	218603	505,729629	233590	504,490193	234590	505,386981	246858	504,351974	246889	504,302104	256437	504,359385	257047	505,261986	269189	505,064331	268173	504,068932	277846	504,803866	278862	503,329224	
3860	586,795348	3953	575,951851	13721	536,957692	14112	535,130040	30536	530,244001	33115	531,939181	46649	526,149461	48759	527,812648	63715	519,526395	61230	522,985260	79499	512,890522	78217	515,471478	93642	510,331580	94767	511,001504	109723	509,217157	106973	508,998080	127398	508,195011	121975	508,194106	142307	507,569189	139291	507,302999	153856	506,532304	155435	507,307140	168922	506,858065	169453	506,910962	182205	505,435785	184253	506,632535	197208	505,307140	202397	506,331595	211461	505,623792	213664	506,122706	224104	505,022507	224041	505,639019	239482	504,374516	240154	505,355951	252030	504,376534	252999	504,346651	261407	504,150464	263001	505,187484	274674	505,227994	273377	503,940332	283019	504,727093	284472	503,288276	
4094	583,020459	4219	573,096728	14346	536,395837	15002	534,772410	31709	528,938865	34209	531,236426	48462	525,400303	50540	527,414355	66434	518,972776	63371	522,375163	81874	512,666768	80640	514,671346	96783	509,995748	97924	510,318285	113067	509,013342	110223	508,520748	131258	508,149663	125538	507,955146	146230	507,434333	143854	506,972934	158170	506,332984	159982	507,091949	173751	506,615153	173922	506,620752	187378	505,163247	189613	506,666865	202647	505,556033	207835	506,518352	216462	505,377039	219509	506,002107	229636	505,193386	229448	505,650196	244936	504,353378	245842	505,262435	257078	504,213300	257984	504,219638	267001	504,064999	268158	505,085288	280144	504,912462	278206	503,902558	288457	504,722113	289020	503,192095	
4344	580,095873	4469	569,913440	14971	535,877648	16346	534,527426	32959	528,505868	35600	530,718338	49915	525,042358	52150	527,060014	68965	517,968275	65605	521,674206	84265	511,601806	83453	513,998014	99768	509,723390	101175	510,096831	116677	508,786962	113630	508,678393	135165	508,005051	129367	507,873428	150324	507,350079	147668	506,831762	162452	506,159924	164436	506,997312	178455	506,476188	178455	506,392733	192457	504,808059	194864	506,413796	208273	505,357588	213227	506,406183	221931	505,162122	224994	505,877848	235496	504,879104	234934	505,583905	250562	504,516446	251296	505,193993	262297	504,109663	263548	504,041647	272096	503,898314	273643	505,085415	285363	504,787940	283238	503,924356	293489	504,648802	293895	503,066864	
4594	577,245024	4735	566,498088	16393	536,116124	17034	534,483699	34100	528,164224	36960	530,543726	51962	524,596119	53978	526,376544	71028	517,273665	67918	520,721731	86766	510,825241	86484	513,447072	102691	509,493681	103644	509,722575	120178	508,585247	117178	508,464632	139229	507,772493	133212	507,698308	155513	507,174566	151793	506,793419	166624	505,957116	168922	507,074909	183174	506,570908	183159	506,101526	197411	504,711021	200334	506,484531	213414	504,973383	218618	506,308117	227323	505,050926	230386	505,843348	240888	504,983130	240263	505,398923	255640	504,319666	256406	505,070884	267251	504,045689	268970	503,920582	277159	503,804353	278503	504,952546	290583	504,731391	288317	503,754752	298724	504,586311	298787	503,024108	
