n	ne	e	se	s	sw	w	nw	c	distance	1-live	1-kitchen	2-live	2-kitchen	3-live	3-kitchen	4-live	4-kitchen	1	last	any	n-floor	kirpich	panel	block	price
0	1	0	0	0	0	0	0	0	0,354289345	0,8	1	0	0	0	0	0	0	1	0	0	0,8	1	0	0	4528
0	1	0	0	0	0	0	0	0	0,321301581	0,285714286	0,3	0	0	0	0	0	0	0	0	1	1	1	0	0	5142
0	1	0	0	0	0	0	0	0	0,265539793	0,257142857	0,1	0	0	0	0	0	0	0	1	0	0,4	1	0	0	3823
0	1	0	0	0	0	0	0	0	0,17837681	0,2	0,1	0	0	0	0	0	0	0	1	0	0,2	1	0	0	3906
0	1	0	0	0	0	0	0	0	0,010131559	0,142857143	0,1	0	0	0	0	0	0	0	0	1	0,2	1	0	0	4116
0	1	0	0	0	0	0	0	0	0,568408483	0	0	0	0	0	0,266666667	0	0	0	0	1	0,5	1	0	0	4714
0	1	0	0	0	0	0	0	0	0,429282714	0	0	0	0	0	0,066666667	0	0	0	1	0	0,4	1	0	0	5000
0	1	0	0	0	0	0	0	0	0,337041929	0	0	0	0	0	0,333333333	0	0	1	0	0	1	1	0	0	3815
0	1	0	0	0	0	0	0	0	0,313166106	0	0	0	0	0	0,333333333	0	0	0	0	1	0,5	1	0	0	4694
0	1	0	0	0	0	0	0	0	0,210078435	0	0	0	0	0	0,333333333	0	0	0	0	1	1	1	0	0	4210
0	1	0	0	0	0	0	0	0	0,009387781	0	0	0	0	0	0,133333333	0	0	0	0	1	0,4	1	0	0	3611
0	1	0	0	0	0	0	0	0	0,568802611	0	0	0,161764706	0,066666667	0	0	0	0	0	0	1	0,5	0	1	0	3604
0	1	0	0	0	0	0	0	0	0,27643266	0	0	0,102941176	0,133333333	0	0	0	0	0	0	1	0,5	0	1	0	4743
0	1	0	0	0	0	0	0	0	0,010138584	0	0	0,176470588	0,066666667	0	0	0	0	1	0	0	0,8	0	1	0	3181
0	1	0	0	0	0	0	0	0	0,551334578	0,457142857	0,2	0	0	0	0	0	0	0	0	1	0,5	0	1	0	5000
0	1	0	0	0	0	0	0	0	0,322640619	1	0,2	0	0	0	0	0	0	0	0	1	0,2	0	1	0	4600
0	1	0	0	0	0	0	0	0	0,070756179	0,542857143	0,1	0	0	0	0	0	0	0	0	1	0,2	0	1	0	3409
0	1	0	0	0	0	0	0	0	0,564482199	0	0	0	0	0	0,066666667	0	0	0	0	1	0,2	0	1	0	4302
0	1	0	0	0	0	0	0	0	0,362738048	0	0	0	0	0	0,066666667	0	0	0	1	0	0,2	0	1	0	4477
0	1	0	0	0	0	0	0	0	0,162780521	0	0	0	0	0	0,066666667	0	0	0	0	1	0,5	0	1	0	4342
0	1	0	0	0	0	0	0	0	0,205755083	0	0	0	0	0	0	0,14893617	0,785714286	0	0	1	0,8	0	1	0	4611
0	1	0	0	0	0	0	0	0	0,555554361	0	0	0,705882353	0,333333333	0	0	0	0	0	0	1	0,8	0	0	1	4937
0	1	0	0	0	0	0	0	0	0,275476275	0	0	0,470588235	0,266666667	0	0	0	0	0	0	1	0,4	0	0	1	3906
0	1	0	0	0	0	0	0	0	0,073353009	0	0	0,602941176	0,333333333	0	0	0	0	0	0	1	0,8	0	0	1	4383
0	1	0	0	0	0	0	0	0	0,585605087	1	0	0	0	0	0	0	0	0	0	1	0,2	0	0	1	5172
0	1	0	0	0	0	0	0	0	0,342695697	1	0,3	0	0	0	0	0	0	0	1	0	0,4	0	0	1	4567
0	1	0	0	0	0	0	0	0	0,089250246	1	0,4	0	0	0	0	0	0	0	0	1	1	0	0	1	4000
0	1	0	0	0	0	0	0	0	0,543367428	0	0	0	0	0,108108108	0,333333333	0	0	0	0	1	0,5	0	0	1	4632
0	1	0	0	0	0	0	0	0	0,304180586	0	0	0	0	0,094594595	0,266666667	0	0	0	0	1	0,5	0	0	1	4515
0	1	0	0	0	0	0	0	0	0,236842514	0	0	0	0	0,081081081	0,266666667	0	0	1	0	0	0,5	0	0	1	4375
0	1	0	0	0	0	0	0	0	0,35923504	0	0	0	0	0	0	0,292553191	0,5	0	0	1	0,9	0	0	1	4700
0	0	1	0	0	0	0	0	0	0,546388866	0	0	0,029411765	0,066666667	0	0	0	0	0	0	1	0,2	1	0	0	4117
0	0	1	0	0	0	0	0	0	0,19710004	0	0	0	0,066666667	0	0	0	0	0	0	1	0,4	1	0	0	5000
0	0	1	0	0	0	0	0	0	0,025541728	0	0	0	0,133333333	0	0	0	0	0	0	1	0,4	1	0	0	4062
0	0	1	0	0	0	0	0	0	0,599569954	0,142857143	0,1	0	0	0	0	0	0	1	0	0	0,2	1	0	0	4700
