score	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album	own_mp3	forum	domen_level	c0	c1	c2	c3
2	42	1334	1218	31.761905	29.000000	29.595238	1.261905	1.000000	0.000000	3	0.0959569445293	0.0163503378618	0.452686930399	0.43500578721
2	1	31	19	31.000000	19.000000	1.000000	3.000000	1.000000	0.000000	1	0.291219520548	0.407404955569	0.277079133524	0.0242963903593
2	1	77	70	77.000000	70.000000	46.000000	29.000000	1.000000	0.000000	1	0.0147848779349	0.178842059061	0.703055948876	0.103317114128
2	1	17	8	17.000000	8.000000	15.000000	4.000000	1.000000	0.000000	2	0.314236449595	0.386480547342	0.0425217818245	0.256761221238
2	3	34	11	11.333333	3.666667	2.666667	2.666667	1.000000	0.000000	2	0.0063354400796	0.287534769618	0.548047225903	0.1580825644
2	1	11	6	11.000000	6.000000	10.000000	8.000000	0.000000	1.000000	2	0.0302755594476	0.0412860671783	0.649314012704	0.27912436067
2	12	17	12	1.416667	1.000000	1.250000	1.250000	1.000000	1.000000	1	0.452304827216	0.0178579634071	0.124671252744	0.405165956632
2	3	3	3	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	1	0.0682959385221	0.0236988522033	0.52470178064	0.383303428634
2	1	24	23	24.000000	23.000000	23.000000	4.000000	1.000000	0.000000	1	0.0160718052586	0.0219167422069	0.794161119927	0.167850332607
2	9	44	38	4.888889	4.222222	4.555556	1.666667	0.000000	1.000000	1	0.103518297547	0.103518297547	0.689445107358	0.103518297547
2	22	178	171	8.090909	7.772727	6.681818	2.727273	1.000000	0.000000	2	0.204358057728	0.0348210679803	0.284266326931	0.476554547361
2	16	25	25	1.562500	1.562500	1.562500	1.562500	1.000000	1.000000	3	0.0152734498803	0.184751963295	0.461836295666	0.338138291159
2	2	7	2	3.500000	1.000000	3.000000	2.500000	1.000000	1.000000	2	0.459263572462	0.0103127682432	0.130367800768	0.400055858527
3	4285	4285	1837	1.000000	0.428705	1.000000	1.000000	0.000000	0.000000	1	0.324290219796	0.0146821302169	0.185722815342	0.475304834645
3	44	669	523	15.204545	11.886364	1.681818	1.681818	1.000000	0.000000	1	0.225638000544	0.00899874351203	0.325125836718	0.440237419226
3	4	7	4	1.750000	1.000000	1.750000	1.500000	1.000000	0.000000	1	0.25	0.25	0.25	0.25
3	1958	51115	42205	26.105720	21.555158	9.390194	6.709397	1.000000	0.000000	1	0.184382850067	0.0314174436182	0.256480395833	0.527719310482
3	93	523	209	5.623656	2.247312	3.193548	3.021505	1.000000	0.000000	1	0.0959569445293	0.0163503378618	0.452686930399	0.43500578721
3	1754	1781	1001	1.015393	0.570696	1.000570	1.000000	0.000000	0.000000	1	0.432718684938	0.326256298611	0.00797962172972	0.233045394722
3	3	8	6	2.666667	2.000000	1.666667	1.666667	1.000000	0.000000	1	0.0753438319243	0.102744608623	0.361692128131	0.460219431321
3	1	3	1	3.000000	1.000000	3.000000	2.000000	1.000000	0.000000	2	0.441695293886	0.432569331404	0.0112091366458	0.114526238065
3	120	120	104	1.000000	0.866667	1.000000	1.000000	1.000000	0.000000	1	0.00772795737903	0.217403301747	0.297605886588	0.477262854286
