score	c1	c2	c3	tc	domain_level	own_mp3 	forum	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album
3	0.277	0.154	0.548	1	0.05	0	0.455	0.96	0.093	0.509	0.978	0.092	0.189	0.553	0.06	0.127	0.048	0.078	0.092	0.189	0.553	0.06	0.127	0.048	0.918	0.092	0.189	0.553
3	0.29	0.407	0.258	0	0.613	0	1	0.407	0.068	0.365	0.216	0.066	0.575	0.487	0.068	0.081	0.033	0.521	0.066	0.575	0.487	0.068	0.081	0.033	0.247	0.066	0.575	0.487
0	0.329	0.079	0.01	0	0.613	0	1	0.428	0.062	0.221	0.972	0.107	0.5	0.5	0.053	0.071	0.018	0.08	0.107	0.5	0.5	0.053	0.071	0.018	0.909	0.107	0.5	0.5
3	0.277	0.154	0.548	1	0.613	0	0	0.31	0.95	0.95	0.532	0.2	0.429	0.815	0.07	0.404	0.349	0.95	0.2	0.429	0.815	0.07	0.404	0.349	0.8	0.2	0.429	0.815
3	0.014	0.244	0.504	0	0.613	0	1	0.858	0.053	0.077	0.113	0.054	0.95	0.95	0.055	0.055	0.003	0.95	0.054	0.95	0.95	0.055	0.055	0.003	0.143	0.054	0.95	0.95
3	0.191	0.293	0.501	0	0.8	0	1	0.05	0.95	0.212	0.177	0.05	0.933	0.95	0.347	0.492	0.017	0.622	0.05	0.933	0.95	0.347	0.492	0.017	0.21	0.05	0.933	0.95
2	0.288	0.305	0.381	0	0.613	0	1	0.257	0.054	0.095	0.597	0.073	0.146	0.2	0.052	0.057	0.005	0.2	0.073	0.146	0.2	0.052	0.057	0.005	0.567	0.073	0.146	0.2
1	0.445	0.025	0.022	0	0.05	0	1	0.05	0.95	0.95	0.661	0.189	0.95	0.067	0.158	0.95	0.95	0.95	0.189	0.95	0.067	0.158	0.95	0.95	0.886	0.189	0.95	0.067
2	0.18	0.407	0.397	1	0.613	0	1	0.05	0.95	0.95	0.707	0.09	0.416	0.945	0.95	0.95	0.95	0.161	0.09	0.416	0.945	0.95	0.95	0.95	0.657	0.09	0.416	0.945
2	0.18	0.407	0.397	1	0.613	0	1	0.05	0.95	0.95	0.707	0.09	0.416	0.945	0.95	0.95	0.95	0.161	0.09	0.416	0.945	0.95	0.95	0.95	0.657	0.09	0.416	0.945
2	0.18	0.407	0.397	1	0.613	0	1	0.05	0.95	0.95	0.707	0.09	0.416	0.945	0.95	0.95	0.95	0.161	0.09	0.416	0.945	0.95	0.95	0.95	0.657	0.09	0.416	0.945
2	0.18	0.407	0.397	1	0.613	0	1	0.05	0.95	0.95	0.707	0.09	0.416	0.945	0.95	0.95	0.95	0.161	0.09	0.416	0.945	0.95	0.95	0.95	0.657	0.09	0.416	0.945
2	0.18	0.407	0.397	1	0.613	0	1	0.05	0.95	0.95	0.707	0.09	0.416	0.945	0.95	0.95	0.95	0.161	0.09	0.416	0.945	0.95	0.95	0.95	0.657	0.09	0.416	0.945
3	0.021	0.307	0.499	0	0.613	0	0	0.428	0.06	0.095	0.915	0.065	0.2	0.387	0.053	0.068	0.005	0.1	0.065	0.2	0.387	0.053	0.068	0.005	0.843	0.065	0.2	0.387
3	0.012	0.168	0.373	0	0.613	0	0	0.113	0.051	0.059	0.257	0.059	0.387	0.95	0.051	0.052	0.001	0.45	0.059	0.387	0.95	0.051	0.052	0.001	0.284	0.059	0.387	0.95
3	0.047	0.346	0.56	0	0.613	0	1	0.05	0.95	0.95	0.986	0.137	0.249	0.484	0.95	0.95	0.95	0.95	0.137	0.249	0.484	0.95	0.95	0.95	0.994	0.137	0.249	0.484
2	0.101	0.489	0.398	1	0.05	0	1	0.05	0.95	0.95	0.212	0.247	0.95	0.532	0.094	0.95	0.95	0.95	0.247	0.95	0.532	0.094	0.95	0.95	0.479	0.247	0.95	0.532
2	0.101	0.489	0.398	1	0.05	0	1	0.05	0.95	0.95	0.212	0.247	0.95	0.532	0.094	0.95	0.95	0.95	0.247	0.95	0.532	0.094	0.95	0.95	0.479	0.247	0.95	0.532
3	0.501	0.015	0.261	0	0.613	0	1	0.257	0.053	0.077	0.428	0.064	0.575	0.575	0.052	0.055	0.003	0.283	0.064	0.575	0.575	0.052	0.055	0.003	0.43	0.064	0.575	0.575
3	0.284	0.158	0.537	1	0.05	0	1	0.05	0.95	0.95	0.707	0.071	0.403	0.414	0.1	0.288	0.124	0.161	0.071	0.403	0.414	0.1	0.288	0.124	0.657	0.071	0.403	0.414
2	0.35	0.492	0.148	0	0.613	0	1	0.428	0.067	0.149	0.946	0.083	0.247	0.247	0.053	0.081	0.01	0.95	0.083	0.247	0.247	0.053	0.081	0.01	1	0.083	0.247	0.247
3	0.22	0.031	0.269	0	0.613	0	0	0.113	0.061	0.203	0.356	0.203	0.95	0.95	0.051	0.069	0.016	0.95	0.203	0.95	0.95	0.051	0.069	0.016	0.649	0.203	0.95	0.95
3	0.14	0.405	0.443	1	0.613	0	1	0.257	0.054	0.086	0.515	0.068	0.2	0.275	0.052	0.056	0.004	0.236	0.068	0.2	0.275	0.052	0.056	0.004	0.5	0.068	0.2	0.275
3	0.14	0.405	0.443	1	0.613	0	1	0.257	0.054	0.086	0.515	0.068	0.2	0.275	0.052	0.056	0.004	0.236	0.068	0.2	0.275	0.052	0.056	0.004	0.5	0.068	0.2	0.275
2	0.091	0.053	0.693	0	0.613	0	1	0.858	0.096	0.734	0.701	0.164	0.95	0.95	0.055	0.133	0.072	0.95	0.164	0.95	0.95	0.055	0.133	0.072	0.909	0.164	0.95	0.95
3	0.091	0.053	0.693	0	0.613	0	1	0.858	0.096	0.734	0.701	0.164	0.95	0.95	0.055	0.133	0.072	0.95	0.164	0.95	0.95	0.055	0.133	0.072	0.909	0.164	0.95	0.95
3	0.167	0.017	0.363	0	0.05	0	1	0.05	0.95	0.95	0.113	0.053	0.95	0.95	0.95	0.95	0.95	0.95	0.053	0.95	0.95	0.95	0.95	0.95	0.143	0.053	0.95	0.95
3	0.167	0.017	0.363	0	0.05	0	1	0.05	0.95	0.95	0.113	0.053	0.95	0.95	0.95	0.95	0.95	0.95	0.053	0.95	0.95	0.95	0.95	0.95	0.143	0.053	0.95	0.95
1	0.602	0.274	0.013	0	0.613	0	1	0.05	0.95	0.95	0.866	0.085	0.259	0.335	0.247	0.95	0.799	0.114	0.085	0.259	0.335	0.247	0.95	0.799	0.795	0.085	0.259	0.335
3	0.256	0.01	0.301	0	0.613	0	1	0.428	0.063	0.176	0.998	0.092	0.387	0.05	0.053	0.073	0.013	0.065	0.092	0.387	0.05	0.053	0.073	0.013	0.956	0.092	0.387	0.05
3	0.073	0.309	0.606	1	0.613	0	1	0.05	0.95	0.05	0.461	0.05	0.718	0.95	0.196	0.514	0	0.264	0.05	0.718	0.95	0.196	0.514	0	0.456	0.05	0.718	0.95
3	0.079	0.321	0.587	1	0.613	0	1	0.203	0.95	0.95	0.964	0.105	0.677	0.239	0.072	0.218	0.144	0.084	0.105	0.677	0.239	0.072	0.218	0.144	0.898	0.105	0.677	0.239
3	0.817	0.056	0.017	0	0.613	0	1	0.257	0.051	0.068	0.113	0.059	0.95	0.95	0.052	0.052	0.002	0.95	0.059	0.95	0.95	0.052	0.052	0.002	0.143	0.059	0.95	0.95
0	0.216	0.029	0.375	0	0.05	0	1	0.05	0.95	0.95	0.369	0.07	0.5	0.62	0.95	0.95	0.95	0.326	0.07	0.5	0.62	0.95	0.95	0.95	0.381	0.07	0.5	0.62
3	0.007	0.256	0.494	1	0.613	0	0	0.113	0.055	0.122	0.99	0.122	0.387	0.95	0.051	0.059	0.008	0.05	0.122	0.387	0.95	0.051	0.059	0.008	0.992	0.122	0.387	0.95
1	0.047	0.346	0.56	0	0.05	0	1	0.05	0.95	0.95	0.959	0.116	0.362	0.771	0.95	0.95	0.95	0.95	0.116	0.362	0.771	0.95	0.95	0.95	1	0.116	0.362	0.771
1	0.047	0.346	0.56	0	0.05	0	1	0.05	0.95	0.95	0.959	0.116	0.362	0.771	0.95	0.95	0.95	0.95	0.116	0.362	0.771	0.95	0.95	0.95	1	0.116	0.362	0.771
2	0.256	0.014	0.187	0	0.05	0	1	0.05	0.95	0.95	0.115	0.055	0.949	0.95	0.95	0.95	0.95	0.935	0.055	0.949	0.95	0.95	0.95	0.95	0.145	0.055	0.949	0.95
3	0.256	0.014	0.187	0	0.05	0	1	0.05	0.95	0.95	0.115	0.055	0.949	0.95	0.95	0.95	0.95	0.935	0.055	0.949	0.95	0.95	0.95	0.95	0.145	0.055	0.949	0.95
2	0.047	0.346	0.56	0	0.613	0	1	0.31	0.95	0.95	0.987	0.12	0.95	0.237	0.07	0.21	0.162	0.074	0.12	0.95	0.237	0.07	0.21	0.162	0.931	0.12	0.95	0.237
3	0.195	0.432	0.368	1	0.05	0	1	0.05	0.95	0.95	0.113	0.058	0.95	0.95	0.158	0.158	0.099	0.95	0.058	0.95	0.95	0.158	0.158	0.099	0.143	0.058	0.95	0.95
1	0.277	0.154	0.548	1	0.05	0	1	0.597	0.071	0.419	0.977	0.142	0.2	0.146	0.054	0.088	0.039	0.95	0.142	0.2	0.146	0.054	0.088	0.039	0.997	0.142	0.2	0.146
2	0.012	0.168	0.373	0	0.613	0	0	0.257	0.054	0.068	0.515	0.059	0.2	0.275	0.052	0.056	0.002	0.236	0.059	0.2	0.275	0.052	0.056	0.002	0.5	0.059	0.2	0.275
3	0.38	0.371	0.221	0	0.613	0	1	0.113	0.05	0.059	0.113	0.059	0.95	0.95	0.051	0.051	0.001	0.95	0.059	0.95	0.95	0.051	0.051	0.001	0.143	0.059	0.95	0.95
3	0.222	0.303	0.418	0	0.613	0	1	0.407	0.081	0.446	0.446	0.07	0.95	0.848	0.068	0.106	0.042	0.273	0.07	0.95	0.848	0.068	0.106	0.042	0.444	0.07	0.95	0.848
3	0.015	0.18	0.516	0	0.613	0	1	0.113	0.056	0.095	0.96	0.095	0.95	0.95	0.051	0.06	0.005	0.95	0.095	0.95	0.95	0.051	0.06	0.005	1	0.095	0.95	0.95
1	0.361	0.38	0.251	0	0.613	0	1	0.724	0.95	0.95	0.05	0.481	0.95	0.089	0.064	0.774	0.682	0.95	0.481	0.95	0.089	0.064	0.774	0.682	0.054	0.481	0.95	0.089
3	0.414	0.055	0.017	0	0.613	0	1	0.05	0.95	0.95	0.978	0.121	0.761	0.682	0.18	0.95	0.95	0.95	0.121	0.761	0.682	0.18	0.95	0.95	0.997	0.121	0.761	0.682
3	0.288	0.305	0.381	0	0.05	0	1	0.05	0.95	0.95	0.113	0.054	0.95	0.95	0.671	0.671	0.288	0.95	0.054	0.95	0.95	0.671	0.671	0.288	0.143	0.054	0.95	0.95
3	0.582	0.047	0.34	0	0.613	0	1	0.072	0.95	0.716	0.464	0.07	0.781	0.639	0.081	0.148	0.07	0.262	0.07	0.781	0.639	0.081	0.148	0.07	0.459	0.07	0.781	0.639
3	0.047	0.346	0.56	0	0.613	0	1	0.05	0.95	0.95	0.88	0.064	0.33	0.844	0.95	0.95	0.95	0.95	0.064	0.33	0.844	0.95	0.95	0.95	0.987	0.064	0.33	0.844
1	0.374	0.343	0.276	1	0.05	0	1	0.05	0.95	0.95	0.394	0.067	0.268	0.298	0.95	0.95	0.95	0.307	0.067	0.268	0.298	0.95	0.95	0.95	0.402	0.067	0.268	0.298
2	0.374	0.343	0.276	1	0.05	0	1	0.05	0.95	0.95	0.394	0.067	0.268	0.298	0.95	0.95	0.95	0.307	0.067	0.268	0.298	0.95	0.95	0.95	0.402	0.067	0.268	0.298
3	0.573	0.177	0.236	0	0.05	0	1	0.05	0.95	0.95	0.142	0.059	0.743	0.762	0.298	0.355	0.275	0.761	0.059	0.743	0.762	0.298	0.355	0.275	0.174	0.059	0.743	0.762
3	0.051	0.17	0.367	0	0.05	0	0	0.356	0.061	0.239	0.113	0.059	0.95	0.95	0.069	0.069	0.02	0.95	0.059	0.95	0.95	0.069	0.069	0.02	0.143	0.059	0.95	0.95
3	0.011	0.323	0.51	1	0.05	0	1	0.051	0.95	0.95	0.71	0.157	0.494	0.494	0.09	0.652	0.497	0.95	0.157	0.494	0.494	0.09	0.652	0.497	0.914	0.157	0.494	0.494
2	0.278	0.505	0.187	0	0.05	0	1	0.05	0.95	0.95	0.389	0.061	0.272	0.473	0.156	0.344	0.137	0.311	0.061	0.272	0.473	0.156	0.344	0.137	0.397	0.061	0.272	0.473
3	0.047	0.346	0.56	0	0.05	0	1	0.05	0.95	0.95	0.113	0.053	0.95	0.95	0.95	0.95	0.479	0.95	0.053	0.95	0.95	0.95	0.95	0.479	0.143	0.053	0.95	0.95
3	0.047	0.346	0.56	0	0.05	0	1	0.05	0.95	0.95	0.113	0.053	0.95	0.95	0.95	0.95	0.479	0.95	0.053	0.95	0.95	0.95	0.95	0.479	0.143	0.053	0.95	0.95
3	0.047	0.346	0.56	0	0.05	0	1	0.05	0.95	0.95	0.113	0.053	0.95	0.95	0.95	0.95	0.479	0.95	0.053	0.95	0.95	0.95	0.95	0.479	0.143	0.053	0.95	0.95
3	0.047	0.346	0.56	0	0.05	0	1	0.05	0.95	0.95	0.113	0.053	0.95	0.95	0.95	0.95	0.479	0.95	0.053	0.95	0.95	0.95	0.95	0.479	0.143	0.053	0.95	0.95
3	0.047	0.346	0.56	0	0.05	0	1	0.05	0.95	0.95	0.113	0.053	0.95	0.95	0.95	0.95	0.479	0.95	0.053	0.95	0.95	0.95	0.95	0.479	0.143	0.053	0.95	0.95
3	0.222	0.303	0.418	0	0.05	0	1	0.428	0.054	0.104	0.37	0.068	0.5	0.5	0.053	0.057	0.006	0.325	0.068	0.5	0.5	0.053	0.057	0.006	0.382	0.068	0.5	0.5
1	0.288	0.305	0.381	0	0.05	0	1	0.858	0.95	0.95	0.05	0.95	0.95	0.95	0.055	0.95	0.95	0.95	0.95	0.95	0.95	0.055	0.95	0.95	0.05	0.95	0.95	0.95
2	0.033	0.258	0.676	0	0.05	0	1	0.05	0.95	0.95	0.174	0.244	0.95	0.95	0.95	0.95	0.95	0.95	0.244	0.95	0.95	0.95	0.95	0.95	0.423	0.244	0.95	0.95
3	0.033	0.258	0.676	0	0.05	0	1	0.05	0.95	0.95	0.174	0.244	0.95	0.95	0.95	0.95	0.95	0.95	0.244	0.95	0.95	0.95	0.95	0.95	0.423	0.244	0.95	0.95
3	0.201	0.435	0.349	1	0.05	0	1	0.05	0.95	0.95	0.819	0.07	0.177	0.197	0.134	0.521	0.199	0.128	0.07	0.177	0.197	0.134	0.521	0.199	0.752	0.07	0.177	0.197
2	0.357	0.421	0.031	0	0.05	0	1	0.05	0.95	0.95	0.99	0.097	0.134	0.401	0.108	0.532	0.326	0.071	0.097	0.134	0.401	0.108	0.532	0.326	0.939	0.097	0.134	0.401
3	0.127	0.229	0.638	1	0.05	0	1	0.05	0.95	0.95	0.998	0.097	0.948	0.944	0.95	0.95	0.95	0.065	0.097	0.948	0.944	0.95	0.95	0.95	0.956	0.097	0.948	0.944
3	0.127	0.229	0.638	1	0.05	0	1	0.05	0.95	0.95	0.998	0.097	0.948	0.944	0.95	0.95	0.95	0.065	0.097	0.948	0.944	0.95	0.95	0.95	0.956	0.097	0.948	0.944
3	0.127	0.229	0.638	1	0.05	0	1	0.05	0.95	0.95	0.998	0.097	0.948	0.944	0.95	0.95	0.95	0.065	0.097	0.948	0.944	0.95	0.95	0.95	0.956	0.097	0.948	0.944
3	0.415	0.145	0.008	0	0.05	0	1	0.05	0.95	0.95	0.113	0.056	0.95	0.95	0.184	0.184	0.097	0.95	0.056	0.95	0.95	0.184	0.184	0.097	0.143	0.056	0.95	0.95
3	0.171	0.263	0.553	0	0.613	0	0.997	0.05	0.95	0.059	0.181	0.05	0.948	0.95	0.95	0.95	0.001	0.611	0.05	0.948	0.95	0.95	0.95	0.001	0.214	0.05	0.948	0.95
2	0.132	0.047	0.171	0	0.613	0	0	0.05	0.95	0.95	0.113	0.059	0.95	0.95	0.159	0.159	0.114	0.95	0.059	0.95	0.95	0.159	0.159	0.114	0.143	0.059	0.95	0.95
3	0.044	0.021	0.571	0	0.05	0	1	0.05	0.95	0.95	0.114	0.053	0.949	0.95	0.95	0.95	0.95	0.946	0.053	0.949	0.95	0.95	0.95	0.95	0.144	0.053	0.949	0.95
3	0.044	0.021	0.571	0	0.05	0	1	0.05	0.95	0.95	0.114	0.053	0.949	0.95	0.95	0.95	0.95	0.946	0.053	0.949	0.95	0.95	0.95	0.95	0.144	0.053	0.949	0.95
2	0.356	0.244	0.012	0	0.05	0	0	0.05	0.95	0.95	0.113	0.059	0.95	0.95	0.21	0.21	0.167	0.95	0.059	0.95	0.95	0.21	0.21	0.167	0.143	0.059	0.95	0.95
3	0.51	0.016	0.122	0	0.05	0	1	0.05	0.95	0.95	0.58	0.075	0.159	0.248	0.95	0.95	0.95	0.207	0.075	0.159	0.248	0.95	0.95	0.95	0.553	0.075	0.159	0.248
3	0.009	0.32	0.573	1	0.05	0	1	0.05	0.95	0.104	0.113	0.05	0.95	0.95	0.202	0.202	0.006	0.95	0.05	0.95	0.95	0.202	0.202	0.006	0.143	0.05	0.95	0.95
3	0.618	0.069	0.266	0	0.05	0	1	0.99	0.078	0.284	0.805	0.073	0.07	0.528	0.059	0.1	0.025	0.132	0.073	0.07	0.528	0.059	0.1	0.025	0.74	0.073	0.07	0.528
3	0.094	0.302	0.596	1	0.05	0	1	0.05	0.95	0.95	0.113	0.056	0.95	0.95	0.271	0.271	0.152	0.95	0.056	0.95	0.95	0.271	0.271	0.152	0.143	0.056	0.95	0.95
3	0.284	0.158	0.537	1	0.05	0	1	0.05	0.95	0.95	0.645	0.158	0.542	0.845	0.102	0.893	0.663	0.95	0.158	0.542	0.845	0.102	0.893	0.663	0.876	0.158	0.542	0.845
3	0.284	0.158	0.537	1	0.05	0	1	0.05	0.95	0.95	0.645	0.158	0.542	0.845	0.102	0.893	0.663	0.95	0.158	0.542	0.845	0.102	0.893	0.663	0.876	0.158	0.542	0.845
3	0.498	0.056	0.408	0	0.05	0	1	0.113	0.05	0.059	0.113	0.059	0.95	0.95	0.051	0.051	0.001	0.95	0.059	0.95	0.95	0.051	0.051	0.001	0.143	0.059	0.95	0.95
2	0.407	0.236	0.027	0	0.05	0	1	0.113	0.066	0.221	0.094	0.221	0.95	0.2	0.051	0.078	0.018	0.95	0.221	0.95	0.2	0.051	0.078	0.018	0.262	0.221	0.95	0.2
2	0.222	0.303	0.418	0	0.05	0	1	0.858	0.95	0.95	0.108	0.281	0.95	0.669	0.055	0.211	0.146	0.95	0.281	0.95	0.669	0.055	0.211	0.146	0.295	0.281	0.95	0.669
3	0.28	0.425	0.28	0	0.613	0	1	0.113	0.068	0.311	0.063	0.311	0.95	0.95	0.051	0.082	0.028	0.95	0.311	0.95	0.95	0.051	0.082	0.028	0.158	0.311	0.95	0.95
2	0.047	0.346	0.56	0	0.05	0	0.741	0.05	0.95	0.95	0.333	0.066	0.485	0.534	0.499	0.95	0.858	0.358	0.066	0.485	0.534	0.499	0.95	0.858	0.351	0.066	0.485	0.534
3	0.015	0.25	0.731	1	0.05	0	1	0.05	0.95	0.95	0.113	0.058	0.95	0.95	0.371	0.371	0.305	0.95	0.058	0.95	0.95	0.371	0.371	0.305	0.143	0.058	0.95	0.95
3	0.015	0.25	0.731	1	0.05	0	1	0.05	0.95	0.95	0.113	0.058	0.95	0.95	0.371	0.371	0.305	0.95	0.058	0.95	0.95	0.371	0.371	0.305	0.143	0.058	0.95	0.95
3	0.015	0.25	0.731	1	0.05	0	1	0.05	0.95	0.95	0.113	0.058	0.95	0.95	0.371	0.371	0.305	0.95	0.058	0.95	0.95	0.371	0.371	0.305	0.143	0.058	0.95	0.95
3	0.015	0.25	0.731	1	0.05	0	1	0.05	0.95	0.95	0.113	0.058	0.95	0.95	0.371	0.371	0.305	0.95	0.058	0.95	0.95	0.371	0.371	0.305	0.143	0.058	0.95	0.95
3	0.015	0.25	0.731	1	0.05	0	1	0.05	0.95	0.95	0.113	0.058	0.95	0.95	0.371	0.371	0.305	0.95	0.058	0.95	0.95	0.371	0.371	0.305	0.143	0.058	0.95	0.95
3	0.254	0.013	0.202	0	0.613	0	1	0.05	0.95	0.95	0.992	0.099	0.738	0.852	0.901	0.95	0.95	0.07	0.099	0.738	0.852	0.901	0.95	0.95	0.941	0.099	0.738	0.852
3	0.187	0.403	0.396	1	0.05	0	1	0.05	0.95	0.95	0.225	0.062	0.95	0.95	0.192	0.306	0.201	0.504	0.062	0.95	0.95	0.192	0.306	0.201	0.255	0.062	0.95	0.95
3	0.187	0.403	0.396	1	0.05	0	1	0.05	0.95	0.95	0.225	0.062	0.95	0.95	0.192	0.306	0.201	0.504	0.062	0.95	0.95	0.192	0.306	0.201	0.255	0.062	0.95	0.95
2	0.126	0.505	0.35	1	0.05	0	1	0.05	0.95	0.05	0.614	0.05	0.238	0.696	0.115	0.316	0	0.193	0.05	0.238	0.696	0.115	0.316	0	0.581	0.05	0.238	0.696
3	0.199	0.229	0.557	0	0.613	0	1	0.05	0.95	0.95	0.786	0.093	0.604	0.675	0.538	0.95	0.95	0.137	0.093	0.604	0.675	0.538	0.95	0.95	0.724	0.093	0.604	0.675
3	0.106	0.314	0.564	1	0.05	0	0.963	0.154	0.95	0.95	0.709	0.158	0.471	0.315	0.074	0.42	0.307	0.95	0.158	0.471	0.315	0.074	0.42	0.307	0.913	0.158	0.471	0.315
3	0.106	0.314	0.564	1	0.05	0	0.963	0.154	0.95	0.95	0.709	0.158	0.471	0.315	0.074	0.42	0.307	0.95	0.158	0.471	0.315	0.074	0.42	0.307	0.913	0.158	0.471	0.315
2	0.091	0.31	0.576	0	0.613	0	1	0.05	0.95	0.122	0.115	0.05	0.932	0.936	0.612	0.622	0.008	0.933	0.05	0.932	0.936	0.612	0.622	0.008	0.146	0.05	0.932	0.936
0	0.04	0.096	0.176	0	0.05	0	0.583	0.234	0.073	0.14	0.236	0.054	0.696	0.725	0.072	0.09	0.01	0.483	0.054	0.696	0.725	0.072	0.09	0.01	0.266	0.054	0.696	0.725
3	0.277	0.154	0.548	1	0.613	0	0	0.356	0.95	0.95	0.705	0.182	0.431	0.809	0.069	0.339	0.292	0.95	0.182	0.431	0.809	0.069	0.339	0.292	0.911	0.182	0.431	0.809
1	0.222	0.303	0.418	0	0.05	0	0.988	0.05	0.95	0.95	0.123	0.056	0.866	0.887	0.351	0.377	0.221	0.873	0.056	0.866	0.887	0.351	0.377	0.221	0.154	0.056	0.866	0.887
1	0.222	0.303	0.418	0	0.05	0	0.988	0.05	0.95	0.95	0.123	0.056	0.866	0.887	0.351	0.377	0.221	0.873	0.056	0.866	0.887	0.351	0.377	0.221	0.154	0.056	0.866	0.887
2	0.454	0.263	0.039	0	0.05	0	0	1	0.072	0.392	0.728	0.088	0.072	0.5	0.058	0.09	0.036	0.155	0.088	0.072	0.5	0.058	0.09	0.036	0.674	0.088	0.072	0.5
3	0.147	0.156	0.686	1	0.05	0	1	0.05	0.95	0.797	0.196	0.058	0.525	0.597	0.135	0.187	0.079	0.568	0.058	0.525	0.597	0.135	0.187	0.079	0.228	0.058	0.525	0.597
2	0.233	0.467	0.284	0	0.05	0	1	0.113	0.062	0.257	0.234	0.257	0.95	0.106	0.051	0.072	0.022	0.95	0.257	0.95	0.106	0.051	0.072	0.022	0.51	0.257	0.95	0.106
3	0.091	0.372	0.522	1	0.05	0	0.057	0.05	0.08	0.302	0.129	0.055	0.95	0.95	0.098	0.104	0.027	0.833	0.055	0.95	0.95	0.098	0.104	0.027	0.161	0.055	0.95	0.95
3	0.031	0.229	0.709	1	0.05	0	1	0.05	0.95	0.95	0.23	0.058	0.948	0.935	0.95	0.95	0.95	0.494	0.058	0.948	0.935	0.95	0.95	0.95	0.26	0.058	0.948	0.935
2	0.312	0.558	0.082	0	0.05	0	1	0.113	0.089	0.68	0.05	0.68	0.95	0.95	0.051	0.119	0.066	0.95	0.68	0.95	0.95	0.051	0.119	0.066	0.05	0.68	0.95	0.95
2	0.053	0.026	0.401	0	0.05	0	0	0.914	0.059	0.158	0.167	0.059	0.725	0.725	0.061	0.065	0.011	0.656	0.059	0.725	0.725	0.061	0.065	0.011	0.2	0.059	0.725	0.725
3	0.053	0.026	0.401	0	0.05	0	1	0.743	0.079	0.401	0.943	0.12	0.336	0.387	0.054	0.101	0.037	0.95	0.12	0.336	0.387	0.054	0.101	0.037	0.999	0.12	0.336	0.387
3	0.38	0.371	0.221	0	0.05	0	1	0.053	0.071	0.248	0.113	0.055	0.95	0.95	0.087	0.087	0.021	0.95	0.055	0.95	0.95	0.087	0.087	0.021	0.143	0.055	0.95	0.95
1	0.047	0.346	0.56	0	0.05	0	1	0.597	0.95	0.923	0.063	0.268	0.95	0.95	0.054	0.18	0.092	0.95	0.268	0.95	0.95	0.054	0.18	0.092	0.158	0.268	0.95	0.95
1	0.427	0.296	0.012	0	0.05	0	0	0.597	0.052	0.068	0.113	0.054	0.95	0.95	0.054	0.054	0.002	0.95	0.054	0.95	0.95	0.054	0.054	0.002	0.143	0.054	0.95	0.95
3	0.224	0.363	0.355	0	0.05	0	1	0.257	0.076	0.419	0.177	0.234	0.95	0.05	0.052	0.097	0.039	0.95	0.234	0.95	0.05	0.052	0.097	0.039	0.427	0.234	0.95	0.05
1	0.404	0.232	0.32	0	0.05	0	0	0.05	0.95	0.95	0.249	0.06	0.41	0.418	0.292	0.522	0.278	0.462	0.06	0.41	0.418	0.292	0.522	0.278	0.277	0.06	0.41	0.418
3	0.323	0.023	0.198	0	0.05	0	1	0.05	0.95	0.725	0.133	0.054	0.95	0.929	0.193	0.216	0.071	0.809	0.054	0.95	0.929	0.193	0.216	0.071	0.165	0.054	0.95	0.929
3	0.277	0.154	0.548	1	0.05	0	0.973	0.06	0.09	0.617	0.279	0.065	0.84	0.95	0.083	0.121	0.06	0.418	0.065	0.84	0.95	0.083	0.121	0.06	0.304	0.065	0.84	0.95
3	0.108	0.345	0.538	1	0.613	0	1	0.724	0.95	0.95	0.678	0.175	0.121	0.2	0.064	0.261	0.199	0.95	0.175	0.121	0.2	0.064	0.261	0.199	0.896	0.175	0.121	0.2
1	0.817	0.056	0.017	0	0.613	0	1	0.257	0.051	0.05	0.113	0.05	0.95	0.95	0.052	0.052	0	0.95	0.05	0.95	0.95	0.052	0.052	0	0.143	0.05	0.95	0.95
2	0.181	0.33	0.452	0	0.613	0	0	0.428	0.053	0.104	0.257	0.068	0.387	0.387	0.053	0.055	0.006	0.45	0.068	0.387	0.387	0.053	0.055	0.006	0.284	0.068	0.387	0.387
3	0.277	0.154	0.548	1	0.613	0	0.5	0.257	0.06	0.221	0.998	0.136	0.95	0.95	0.052	0.067	0.018	0.055	0.136	0.95	0.95	0.052	0.067	0.018	0.982	0.136	0.95	0.95
3	0.047	0.346	0.56	0	0.05	0	1	0.05	0.95	0.95	0.984	0.132	0.943	0.935	0.187	0.95	0.95	0.95	0.132	0.943	0.935	0.187	0.95	0.95	0.995	0.132	0.943	0.935
3	0.222	0.303	0.418	0	0.613	0	1	0.257	0.088	0.581	0.059	0.315	0.275	0.106	0.052	0.118	0.056	0.95	0.315	0.275	0.106	0.052	0.118	0.056	0.136	0.315	0.275	0.106
