score	c1	c2	c3	tc	domain_level	own_mp3 	forum	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album
3	0.008	0.261	0.477	1	0.613	0	1	1	0.055	0.122	0.113	0.058	0.95	0.95	0.058	0.058	0.008	0.95	0.058	0.95	0.95	0.058	0.058	0.008	0.143	0.058	0.95	0.95
3	0.091	0.372	0.522	1	0.05	0	1	0.858	0.064	0.293	0.674	0.09	0.95	0.95	0.055	0.074	0.026	0.172	0.09	0.95	0.95	0.055	0.074	0.026	0.629	0.09	0.95	0.95
2	0.075	0.451	0.453	1	0.05	0	1	0.428	0.052	0.077	0.113	0.059	0.95	0.95	0.053	0.053	0.003	0.95	0.059	0.95	0.95	0.053	0.053	0.003	0.143	0.059	0.95	0.95
1	0.145	0.32	0.522	1	0.613	0	1	0.113	0.054	0.113	0.938	0.113	0.95	0.95	0.051	0.056	0.007	0.093	0.113	0.95	0.95	0.051	0.056	0.007	0.867	0.113	0.95	0.95
3	0.027	0.038	0.491	0	0.613	0	0	0.113	0.051	0.059	0.257	0.059	0.387	0.387	0.051	0.052	0.001	0.45	0.059	0.387	0.387	0.051	0.052	0.001	0.284	0.059	0.387	0.387
3	0.213	0.059	0.267	0	0.613	0	1	0.113	0.052	0.068	0.428	0.068	0.2	0.2	0.051	0.053	0.002	0.283	0.068	0.2	0.2	0.051	0.053	0.002	0.43	0.068	0.2	0.2
2	0.459	0.015	0.212	0	0.05	0	1	0.05	0.95	0.95	0.406	0.066	0.272	0.37	0.95	0.95	0.95	0.298	0.066	0.272	0.37	0.95	0.95	0.95	0.412	0.066	0.272	0.37
3	0.459	0.015	0.212	0	0.05	0	1	0.05	0.95	0.95	0.406	0.066	0.272	0.37	0.95	0.95	0.95	0.298	0.066	0.272	0.37	0.95	0.95	0.95	0.412	0.066	0.272	0.37
3	0.154	0.349	0.485	1	0.05	0	1	0.05	0.95	0.95	0.113	0.059	0.95	0.95	0.252	0.252	0.205	0.95	0.059	0.95	0.95	0.252	0.252	0.205	0.143	0.059	0.95	0.95
3	0.154	0.349	0.485	1	0.05	0	1	0.05	0.95	0.95	0.113	0.059	0.95	0.95	0.252	0.252	0.205	0.95	0.059	0.95	0.95	0.252	0.252	0.205	0.143	0.059	0.95	0.95
3	0.262	0.389	0.321	0	0.613	0	1	0.05	0.95	0.95	0.209	0.066	0.537	0.841	0.369	0.95	0.601	0.95	0.066	0.537	0.841	0.369	0.95	0.601	0.476	0.066	0.537	0.841
3	0.303	0.025	0.298	0	0.8	0	1	0.05	0.95	0.95	0.217	0.059	0.889	0.874	0.95	0.95	0.95	0.52	0.059	0.889	0.874	0.95	0.95	0.95	0.248	0.059	0.889	0.874
3	0.446	0.326	0.214	0	0.613	0	1	0.914	0.059	0.158	0.179	0.059	0.575	0.619	0.061	0.066	0.011	0.617	0.059	0.575	0.619	0.061	0.066	0.011	0.212	0.059	0.575	0.619
3	0.047	0.346	0.56	0	0.613	0	1	0.857	0.071	0.374	0.469	0.075	0.41	0.367	0.062	0.088	0.034	0.26	0.075	0.41	0.367	0.062	0.088	0.034	0.463	0.075	0.41	0.367
3	0.192	0.327	0.457	0	0.613	0	0	0.05	0.95	0.95	0.3	0.068	0.421	0.482	0.122	0.213	0.148	0.392	0.068	0.421	0.482	0.122	0.213	0.148	0.323	0.068	0.421	0.482
3	0.091	0.372	0.522	1	0.613	0	1	0.078	0.95	0.95	0.994	0.088	0.32	0.615	0.08	0.3	0.133	0.069	0.088	0.32	0.615	0.08	0.3	0.133	0.947	0.088	0.32	0.615
1	0.185	0.048	0.048	0	0.613	0	0	0.428	0.052	0.077	0.113	0.059	0.95	0.95	0.053	0.053	0.003	0.95	0.059	0.95	0.95	0.053	0.053	0.003	0.143	0.059	0.95	0.95
1	0.33	0.297	0.332	0	0.613	0	0	0.523	0.066	0.311	0.212	0.064	0.95	0.745	0.066	0.078	0.028	0.531	0.064	0.95	0.745	0.066	0.078	0.028	0.243	0.064	0.95	0.745
2	0.244	0.366	0.372	0	0.8	0	0	0.656	0.063	0.275	0.188	0.064	0.545	0.545	0.064	0.072	0.024	0.59	0.064	0.545	0.545	0.064	0.072	0.024	0.22	0.064	0.545	0.545
3	0.244	0.366	0.372	0	0.8	0	0	0.656	0.063	0.275	0.188	0.064	0.545	0.545	0.064	0.072	0.024	0.59	0.064	0.545	0.545	0.064	0.072	0.024	0.22	0.064	0.545	0.545
3	0.316	0.316	0.051	0	0.613	0	0	0.428	0.052	0.086	0.155	0.062	0.95	0.95	0.053	0.054	0.004	0.7	0.062	0.95	0.95	0.053	0.054	0.004	0.188	0.062	0.95	0.95
3	0.293	0.087	0.04	0	0.613	0	0	0.743	0.053	0.095	0.113	0.059	0.95	0.95	0.054	0.054	0.005	0.95	0.059	0.95	0.95	0.054	0.054	0.005	0.143	0.059	0.95	0.95
0	0.047	0.346	0.56	0	0.613	0	0	0.05	0.95	0.95	0.145	0.057	0.811	0.846	0.432	0.531	0.298	0.744	0.057	0.811	0.846	0.432	0.531	0.298	0.178	0.057	0.811	0.846
3	0.17	0.246	0.569	1	0.613	0	1	0.067	0.068	0.077	0.113	0.051	0.95	0.95	0.081	0.081	0.003	0.95	0.051	0.95	0.95	0.081	0.081	0.003	0.143	0.051	0.95	0.95
3	0.414	0.055	0.017	0	0.613	0	1	0.257	0.057	0.14	0.938	0.095	0.95	0.2	0.052	0.063	0.01	0.093	0.095	0.95	0.2	0.052	0.063	0.01	0.867	0.095	0.95	0.2
3	0.317	0.025	0.268	0	0.613	0	1	0.113	0.05	0.059	0.113	0.059	0.95	0.95	0.051	0.051	0.001	0.95	0.059	0.95	0.95	0.051	0.051	0.001	0.143	0.059	0.95	0.95
3	0.032	0.045	0.624	0	0.613	0	1	0.99	0.95	0.77	0.943	0.122	0.487	0.275	0.059	0.153	0.076	0.95	0.122	0.487	0.275	0.059	0.153	0.076	0.999	0.122	0.487	0.275
3	0.118	0.175	0.589	0	0.05	0	1	0.792	0.058	0.14	0.13	0.056	0.809	0.95	0.063	0.064	0.01	0.825	0.056	0.809	0.95	0.063	0.064	0.01	0.162	0.056	0.809	0.95
3	0.269	0.031	0.426	0	0.05	0	1	0.858	0.053	0.104	0.113	0.059	0.95	0.95	0.055	0.055	0.006	0.95	0.059	0.95	0.95	0.055	0.055	0.006	0.143	0.059	0.95	0.95
3	0.108	0.345	0.538	1	0.613	0	1	0.463	0.95	0.95	0.973	0.136	0.538	0.387	0.067	0.232	0.172	0.95	0.136	0.538	0.387	0.067	0.232	0.172	0.998	0.136	0.538	0.387
3	0.108	0.345	0.538	1	0.613	0	1	0.463	0.95	0.95	0.973	0.136	0.538	0.387	0.067	0.232	0.172	0.95	0.136	0.538	0.387	0.067	0.232	0.172	0.998	0.136	0.538	0.387
3	0.406	0.364	0.012	0	0.613	0	1	0.96	0.058	0.113	0.172	0.056	0.856	0.709	0.06	0.064	0.007	0.638	0.056	0.856	0.709	0.06	0.064	0.007	0.205	0.056	0.856	0.709
3	0.174	0.042	0.431	0	0.613	0	1	0.257	0.054	0.068	0.597	0.059	0.146	0.275	0.052	0.057	0.002	0.2	0.059	0.146	0.275	0.052	0.057	0.002	0.567	0.059	0.146	0.275
3	0.19	0.197	0.603	1	0.613	0	0	1	0.06	0.176	0.294	0.064	0.604	0.604	0.058	0.068	0.013	0.4	0.064	0.604	0.604	0.058	0.068	0.013	0.317	0.064	0.604	0.604
