time	open	high	low	close
2008-07-28 06:17:00	1.5700	1.5702	1.5698	1.5700
2008-07-28 06:18:00	1.5700	1.5702	1.5697	1.5699
2008-07-28 06:19:00	1.5699	1.5701	1.5697	1.5699
2008-07-28 06:20:00	1.5699	1.5702	1.5696	1.5700
2008-07-28 06:21:00	1.5700	1.5702	1.5695	1.5697
2008-07-28 06:22:00	1.5697	1.5699	1.5695	1.5697
2008-07-28 06:23:00	1.5697	1.5701	1.5695	1.5699
2008-07-28 06:24:00	1.5699	1.5700	1.5695	1.5698
2008-07-28 06:25:00	1.5698	1.5700	1.5696	1.5698
2008-07-28 06:26:00	1.5698	1.5701	1.5696	1.5699
2008-07-28 06:27:00	1.5699	1.5701	1.5696	1.5699
2008-07-28 06:28:00	1.5699	1.5701	1.5697	1.5699
2008-07-28 06:29:00	1.5699	1.5701	1.5697	1.5699
2008-07-28 06:30:00	1.5699	1.5701	1.5697	1.5699
2008-07-28 06:31:00	1.5699	1.5702	1.5697	1.5700
2008-07-28 06:32:00	1.5700	1.5702	1.5697	1.5700
2008-07-28 06:33:00	1.5700	1.5702	1.5698	1.5700
2008-07-28 06:34:00	1.5700	1.5702	1.5698	1.5700
2008-07-28 06:35:00	1.5700	1.5703	1.5698	1.5701
2008-07-28 06:36:00	1.5701	1.5703	1.5699	1.5701
2008-07-28 06:37:00	1.5701	1.5703	1.5699	1.5701
2008-07-28 06:38:00	1.5701	1.5705	1.5699	1.5702
2008-07-28 06:39:00	1.5702	1.5704	1.5700	1.5702
2008-07-28 06:40:00	1.5702	1.5704	1.5700	1.5702
2008-07-28 06:41:00	1.5702	1.5706	1.5700	1.5704
2008-07-28 06:42:00	1.5704	1.5706	1.5701	1.5704
2008-07-28 06:43:00	1.5704	1.5706	1.5702	1.5704
2008-07-28 06:44:00	1.5704	1.5706	1.5701	1.5704
2008-07-28 06:45:00	1.5704	1.5706	1.5702	1.5704
2008-07-28 06:46:00	1.5704	1.5707	1.5702	1.5705
