time	open	high	low	close
2008-07-28 16:00:00	1.0345	1.0347	1.0340	1.0344
2008-07-28 16:01:00	1.0344	1.0346	1.0339	1.0344
2008-07-28 16:02:00	1.0344	1.0346	1.0340	1.0343
2008-07-28 16:03:00	1.0343	1.0346	1.0340	1.0344
2008-07-28 16:04:00	1.0344	1.0348	1.0341	1.0345
2008-07-28 16:05:00	1.0345	1.0349	1.0342	1.0346
2008-07-28 16:06:00	1.0346	1.0351	1.0343	1.0349
2008-07-28 16:07:00	1.0349	1.0351	1.0344	1.0347
2008-07-28 16:08:00	1.0347	1.0350	1.0344	1.0347
2008-07-28 16:09:00	1.0347	1.0351	1.0344	1.0348
2008-07-28 16:10:00	1.0348	1.0351	1.0345	1.0348
2008-07-28 16:11:00	1.0348	1.0351	1.0344	1.0348
2008-07-28 16:12:00	1.0348	1.0351	1.0345	1.0348
2008-07-28 16:13:00	1.0348	1.0350	1.0344	1.0348
2008-07-28 16:14:00	1.0348	1.0350	1.0342	1.0345
2008-07-28 16:15:00	1.0345	1.0348	1.0341	1.0345
2008-07-28 16:16:00	1.0345	1.0348	1.0342	1.0346
2008-07-28 16:17:00	1.0346	1.0349	1.0343	1.0347
2008-07-28 16:18:00	1.0347	1.0349	1.0343	1.0347
2008-07-28 16:19:00	1.0347	1.0349	1.0343	1.0347
2008-07-28 16:20:00	1.0347	1.0349	1.0342	1.0345
2008-07-28 16:21:00	1.0345	1.0349	1.0342	1.0347
2008-07-28 16:22:00	1.0347	1.0348	1.0342	1.0346
2008-07-28 16:23:00	1.0346	1.0348	1.0342	1.0345
2008-07-28 16:24:00	1.0345	1.0346	1.0341	1.0344
2008-07-28 16:25:00	1.0344	1.0346	1.0340	1.0343
2008-07-28 16:26:00	1.0343	1.0346	1.0340	1.0344
2008-07-28 16:27:00	1.0344	1.0346	1.0332	1.0336
2008-07-28 16:28:00	1.0336	1.0340	1.0333	1.0338
2008-07-28 16:29:00	1.0338	1.0343	1.0335	1.0341
2008-07-28 16:30:00	1.0341	1.0344	1.0338	1.0342
2008-07-28 16:31:00	1.0342	1.0345	1.0338	1.0342
2008-07-28 16:32:00	1.0342	1.0346	1.0339	1.0344
2008-07-28 16:33:00	1.0344	1.0347	1.0341	1.0344
2008-07-28 16:34:00	1.0344	1.0346	1.0339	1.0343
2008-07-28 16:35:00	1.0343	1.0345	1.0339	1.0342
2008-07-28 16:36:00	1.0342	1.0345	1.0338	1.0342
2008-07-28 16:37:00	1.0342	1.0344	1.0338	1.0341
2008-07-28 16:38:00	1.0341	1.0344	1.0335	1.0338
2008-07-28 16:39:00	1.0338	1.0340	1.0330	1.0333
2008-07-28 16:40:00	1.0333	1.0337	1.0331	1.0334
2008-07-28 16:41:00	1.0334	1.0337	1.0330	1.0334
2008-07-28 16:42:00	1.0334	1.0337	1.0331	1.0335
2008-07-28 16:43:00	1.0335	1.0338	1.0331	1.0335
2008-07-28 16:44:00	1.0335	1.0340	1.0333	1.0338
2008-07-28 16:45:00	1.0338	1.0340	1.0333	1.0336
2008-07-28 16:46:00	1.0336	1.0338	1.0332	1.0336
2008-07-28 16:47:00	1.0336	1.0338	1.0333	1.0336
2008-07-28 16:48:00	1.0336	1.0338	1.0333	1.0336
2008-07-28 16:49:00	1.0336	1.0338	1.0331	1.0335
